,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,_RA.icrs,_DE.icrs,id
2G3438535-0010749,343.8535,-0.1075,0.09000000357627869,0.5400000214576721,0.41999998688697815,0.49000000953674316,0.05999999865889549,63,84,0.6299999952316284,,0.30000001192092896,C,,1G343853-001089,G343.855-00.103,,,255.2296,-42.325,2116
2G3439131+0011560,343.9131,0.1156,0.10000000149011612,0.44999998807907104,0.25999999046325684,0.3700000047683716,0.07999999821186066,85,87,0.8100000023841858,0.17000000178813934,0.3100000023841858,R,,1G343910+001145,G343.912+00.116,17.399999618530273,,255.0418,-42.1407,2117
2G3439159-0064927,343.916,-0.6493,0.3499999940395355,1.7899999618530273,1.6100000143051147,1.7100000381469727,0.3199999928474426,54,90,0.4399999976158142,0.2800000011920929,0.5,R,,1G343918-006487,G343.914-00.646,,S15,255.8622,-42.6072,2118
2G3439610-0018366,343.961,-0.1837,0.20999999344348907,0.5799999833106995,0.5199999809265137,0.550000011920929,0.23000000417232513,64,97,0.4699999988079071,0.17000000178813934,0.14000000059604645,R,,1G343961-001836,G343.961-00.183,,,255.4002,-42.287,2119
2G3441057-0066680,344.1057,-0.6668,0.6899999976158142,1.4199999570846558,1.159999966621399,1.2899999618530273,0.5899999737739563,55,93,0.5699999928474426,0.27000001072883606,0.38999998569488525,R,,1G344104-006669,G344.103-00.671,,,256.0377,-42.4673,2120
2G3443663-0024223,344.3663,-0.2422,0.6700000166893005,2.2200000286102295,1.8799999952316284,2.059999942779541,0.5099999904632568,53,82,0.5299999713897705,,0.3100000023841858,C,,1G344372-002400,G344.366-00.262,,,255.7969,-42.0021,2121
2G3443932-0013116,344.3932,-0.1312,1.7999999523162842,3.509999990463257,2.509999990463257,3.049999952316284,1.6100000143051147,91,76,0.699999988079071,,0.12999999523162842,C,,,G344.392-00.127,,,255.7007,-41.9131,2122
2G3444003+0005283,344.4004,0.0528,0.09000000357627869,0.4300000071525574,0.3100000023841858,0.3700000047683716,0.03999999910593033,81,80,0.699999988079071,,0.1599999964237213,C,,,,,,255.5112,-41.7949,2123
2G3444274+0003999,344.4275,0.04,0.8100000023841858,0.800000011920929,0.6000000238418579,0.699999988079071,0.4099999964237213,58,100,0.6600000262260437,0.07000000029802322,0.09000000357627869,C,,1G344427+000424,G344.424+00.044,5.0,,255.547,-41.7813,2124
2G3447702-0053247,344.7702,-0.5325,1.4700000286102295,3.180000066757202,2.509999990463257,2.859999895095825,0.8399999737739563,8,125,0.6100000143051147,0.3199999928474426,0.10999999940395355,R,,1G344754-005440,G344.753-00.548,,S14,256.4365,-41.8573,2125
2G3447764-0021537,344.7765,-0.2154,0.3199999928474426,0.3700000047683716,0.25,0.3199999928474426,0.2199999988079071,51,72,0.75,0.14000000059604645,0.12999999523162842,R,,,G344.781-00.217,,,256.1033,-41.6603,2126
2G3448050-0025703,344.805,-0.257,0.15000000596046448,1.0700000524520874,0.7200000286102295,0.9100000262260437,0.12999999523162842,77,71,0.7400000095367432,,0.12999999523162842,C,,1G344805-002561,G344.803-00.257,,,256.1707,-41.6629,2127
2G3449442+0020133,344.9442,0.2013,0.10999999940395355,0.44999998807907104,0.33000001311302185,0.4000000059604645,0.05000000074505806,26,57,0.6700000166893005,,0.12999999523162842,C,,1G344943+001995,G344.943+00.200,,,255.7981,-41.2737,2128
2G3449923-0026324,344.9924,-0.2632,0.07999999821186066,0.44999998807907104,0.38999998569488525,0.41999998688697815,0.10999999940395355,72,121,0.4699999988079071,,0.12999999523162842,C,,1G344991-002642,G344.993-00.265,,,256.3291,-41.5175,2129
2G3450708+0110442,345.0709,1.1044,1.9199999570846558,4.010000228881836,2.130000114440918,3.2100000381469727,0.75,138,54,0.8500000238418579,,0.12999999523162842,C,,,,,,254.9569,-40.6195,2130
2G3450957+0013294,345.0958,0.133,0.25,1.1299999952316284,0.9200000166893005,1.0299999713897705,0.12999999523162842,25,69,0.5699999928474426,,0.20999999344348907,C,,1G345096+001309,G345.095+00.136,,,255.9929,-41.195,2131
2G3452078-0053658,345.2078,-0.5366,0.17000000178813934,0.4000000059604645,0.27000001072883606,0.3400000035762787,0.09000000357627869,172,90,0.7400000095367432,0.1899999976158142,0.07999999821186066,R,,1G345210-005382,G345.211-00.538,,,256.7938,-41.5104,2132
2G3452365-0040789,345.2366,-0.4079,0.3799999952316284,0.7599999904632568,0.5899999737739563,0.6800000071525574,0.20000000298023224,6,85,0.6399999856948853,0.05000000074505806,0.28999999165534973,R,,1G345238-004100,G345.236-00.406,,,256.6797,-41.4101,2133
2G3452853-0098167,345.2853,-0.9817,0.4000000059604645,2.559999942779541,1.1699999570846558,1.9900000095367432,0.33000001311302185,56,38,0.8899999856948853,,0.20999999344348907,C,,,,,,257.3329,-41.7146,2134
2G3453208+0101781,345.3208,1.0178,0.41999998688697815,1.6100000143051147,1.4199999570846558,1.5199999809265137,0.3400000035762787,31,97,0.4699999988079071,0.05000000074505806,0.20999999344348907,R,,,G345.324+01.022,,,255.2493,-40.476,2135
2G3453611-0089834,345.3611,-0.8983,0.6600000262260437,0.8600000143051147,0.6399999856948853,0.7599999904632568,0.33000001311302185,143,166,0.6700000166893005,0.05000000074505806,0.10000000149011612,C,,,G345.350-00.905,,,257.3037,-41.604,2136
2G3453702+0102927,345.3702,1.0293,0.2199999988079071,1.0,0.8500000238418579,0.9300000071525574,0.14000000059604645,20,70,0.5199999809265137,,0.2199999988079071,C,,,G345.372+01.024,,,255.2772,-40.43,2137
2G3453725+0106495,345.3726,1.065,0.18000000715255737,0.800000011920929,0.6700000166893005,0.7400000095367432,0.17000000178813934,33,71,0.550000011920929,0.3799999952316284,0.17000000178813934,R,,,G345.372+01.060,,S12,255.2422,-40.4061,2138
2G3453766-0090316,345.3767,-0.9032,0.07999999821186066,0.2199999988079071,0.18000000715255737,0.20000000298023224,0.05000000074505806,135,123,0.6200000047683716,0.1599999964237213,0.20000000298023224,R,,,G345.377-00.904,,,257.3213,-41.5944,2139
2G3454336+0020933,345.4337,0.2093,0.38999998569488525,0.8799999952316284,0.699999988079071,0.7900000214576721,0.23999999463558197,53,95,0.6100000143051147,0.03999999910593033,0.2800000011920929,R,,1G345434+002068,G345.432+00.207,,,256.1845,-40.8802,2140
2G3454765-0022154,345.4766,-0.2215,0.11999999731779099,0.2199999988079071,0.18000000715255737,0.20000000298023224,0.07999999821186066,4,86,0.6000000238418579,0.03999999910593033,0.23999999463558197,R,,,G345.477-00.221,,,256.6737,-41.1062,2141
2G3454828+0039977,345.4829,0.3998,0.4000000059604645,2.2200000286102295,2.0399999618530273,2.130000114440918,0.3199999928474426,49,93,0.4000000059604645,0.25,0.5699999928474426,R,,1G345484+004011,G345.486+00.399,,S11,256.024,-40.7254,2142
2G3454919+0035618,345.4919,0.3562,0.10000000149011612,0.6100000143051147,0.4399999976158142,0.5299999713897705,0.10000000149011612,18,78,0.699999988079071,0.14000000059604645,0.3799999952316284,R,,1G345494+003552,G345.491+00.354,,,256.0769,-40.7448,2143
